gene_name	chr	bp	canonical
PRAMEF13	1	13199769	
PRAMEF18	1	13226154	
PRAMEF31P	1	13245863	
PRAMEF5	1	13254198	
PRAMEF32P	1	13275627	
RNU6-771P	1	13279231	
PRAMEF8	1	13284653	
PRAMEF33	1	13303539	
PRAMEF15	1	13315581	
PRAMEF14	1	13345487	
PRAMEF19	1	13371947	
PRAMEF17	1	13389632	
PRAMEF20	1	13410450	
LRRC38	1	13514003	
BRWD1P1	1	13555001	
PDPN	1	13583833	
RNA5SP41	1	13623284	
PRDM2	1	13738785	
RNU6-1265P	1	14124335	
KAZN-AS1	1	14419777	
KAZN	1	14598717	
TBCAP2	1	14692613	
TMEM51	1	15152815	
TMEM51-AS1	1	15152968	
TMEM51-AS2	1	15171491	
MFFP1	1	15192845	
ZBTB2P1	1	15226373	
FHAD1	1	15318287	
FHAD1-AS1	1	15343879	
EFHD2-AS1	1	15409433	
EFHD2	1	15409909	
CTRC	1	15438448	
CELA2A	1	15456732	
CELA2B	1	15476284	
CASP9	1	15524220	
SCARNA21B	1	15542165	
DNAJC16	1	15561847	
AGMAT	1	15585051	
CHCHD2P6	1	15604597	
RNU7-179P	1	15608145	
CD24P1	1	15614867	
DDI2	1	15624008	
RSC1A1	1	15659713	
PLEKHM2	1	15684370	
SLC25A34	1	15736258	
TMEM82	1	15742504	
SLC25A34-AS1	1	15749750	
FBLIM1	1	15758611	
RPL12P14	1	15792796	
SPEN-AS1	1	15800289	
UQCRHL	1	15808498	
SPEN	1	15873502	
ZBTB17	1	15949249	
TBC1D3P6	1	15989871	
SRARP	1	16004236	
HSPB7	1	16018058	
CLCNKA	1	16021924	
FAM131C2P	1	16040029	
CLCNKB	1	16043797	
FAM131C	1	16073632	
EPHA2-AS1	1	16155538	
EPHA2	1	16156042	
ARHGEF19	1	16212636	
ANO7L1	1	16228027	
CPLANE2	1	16237147	
MT1XP1	1	16241398	
FBXO42	1	16352440	
SZRD1	1	16367235	
RPL22P3	1	16369530	
SPATA21	1	16437291	
NECAP2	1	16440742	
LINC01772	1	16460948	
CROCCP3	1	16491307	
RNU1-1	1	16514285	
RNU1-6P	1	16534224	
LINC01783	1	16535597	
PDE4DIPP8	1	16552531	
NBPF1	1	16611068	
MST1P2	1	16645622	
CROCCP2	1	16657232	
RNU1-3	1	16666948	
EIF1AXP1	1	16686055	
ESPNP	1	16720157	
RNU1-4	1	16740516	
CROCCP4	1	16750233	
MST1L	1	16764480	
PDE4DIPP9	1	16855407	
MIR3675	1	16859021	
LINC03126	1	16872281	
RNU1-5P	1	16873708	
RNU1-2	1	16895980	
CROCC	1	16937850	
MFAP2	1	16980625	
ATP13A2	1	17000847	
SDHB	1	17054025	
PADI2	1	17119449	
LINC02783	1	17190093	
PADI1	1	17223487	
PADI3	1	17249098	
MIR3972	1	17277889	
PADI4	1	17346034	
PADI6	1	17372196	
RCC2-AS1	1	17406760	
RCC2	1	17439649	
ARHGEF10L	1	17539723	
LINC02810	1	17717654	
ACTL8	1	17779084	
LINC01654	1	18065657	
IGSF21-AS1	1	18176696	
IGSF21	1	18193321	
KLHDC7A	1	18480930	
DYNLL1P3	1	18513118	
PAX7	1	18631124	
TAS1R2	1	18859660	
MIR4695	1	18883275	
MIR1290	1	18897148	
ALDH4A1	1	18902566	
IFFO2	1	18956178	
UBR4	1	19112687	
EMC1-AS1	1	19210392	
EMC1	1	19251518	
MRTO4	1	19251808	
AKR7L	1	19273941	
AKR7A3	1	19288770	
RNU6-1099P	1	19305182	
AKR7A2	1	19312103	
SLC66A1	1	19312413	
RN7SL277P	1	19424384	
CAPZB	1	19485493	
RNU4-28P	1	19510593	
MICOS10-DT	1	19596855	
MICOS10	1	19596991	
MICOS10-NBL1	1	19597067	
NBL1	1	19644314	
HTR6	1	19664875	
TMCO4	1	19799916	
RNF186-AS1	1	19814354	
RNF186	1	19815283	
OTUD3	1	19882404	
PLA2G2E	1	19923617	
RN7SL304P	1	19970969	
PLA2G2A	1	19979619	
PLA2G5	1	20028484	
PLA2G2D	1	20119551	
PLA2G2F	1	20139326	
PLA2G2C	1	20177424	
UBXN10	1	20186096	
LINC01757	1	20243084	
VWA5B1	1	20291672	
LINC01141	1	20429134	
CAMK2N1	1	20485649	
MUL1	1	20508136	
RPS4XP4	1	20525989	
FAM43B	1	20552573	
CDA	1	20589085	
PINK1	1	20633476	
MIR6084	1	20633679	
PINK1-AS	1	20652193	
DDOST	1	20661378	
KIF17	1	20698439	
SH2D5	1	20732184	
HP1BP3	1	20786656	
RNU7-200P	1	20841241	
MIR1256	1	20988432	
RPS15AP6	1	21003934	
HSPE1P27	1	21161475	
EIF4G3	1	21174737	
ECE1	1	21290463	
ECE1-AS1	1	21293474	
PPP1R11P1	1	21397987	
PDE4DIPP10	1	21413293	
NBPF2P	1	21427967	
HS6ST1P1	1	21428303	
CROCCP5	1	21434318	
NBPF3	1	21440155	
PFN1P10	1	21460082	
ALPL	1	21530353	
LINC02596	1	21586759	
RAP1GAP	1	21656417	
USP48	1	21783113	
LDLRAD2	1	21812363	
HSPG2	1	21872377	
RPL21P29	1	21908098	
CELA3B	1	21979497	
RN7SL386P	1	21987481	
RNU6-1022P	1	21987816	
CELA3A	1	22001660	
RN7SL186P	1	22010650	
RNU6-776P	1	22010985	
LINC01635	1	22025492	
LINC00339	1	22025511	
CDC42	1	22052768	
CDC42-AS1	1	22052927	
CDC42-IT1	1	22059197	
MPHOSPH6P1	1	22068827	
WNT4	1	22143151	
MIR4418	1	22266239	
PPIAP34	1	22323331	
ZBTB40	1	22451856	
ZBTB40-IT1	1	22517474	
EPHA8	1	22563526	
MIR6127	1	22633366	
C1QA	1	22636626	
C1QC	1	22643629	
C1QB	1	22653203	
MIR4684	1	22719517	
EPHB2	1	22743074	
MIR4253	1	22863226	
LACTBL1	1	22972866	
TEX46	1	23015852	
KDM1A	1	23019496	
MIR3115	1	23044305	
RNU6-514P	1	23162704	
RNU6-135P	1	23163953	
LUZP1	1	23168850	
HTR1D	1	23217524	
RPL29P6	1	23244765	
LINC01355	1	23286545	
HNRNPR	1	23344297	
ZNF436-AS1	1	23368951	
ZNF436	1	23369701	
TCEA3	1	23424751	
ASAP3	1	23484184	
E2F2	1	23525314	
ID3	1	23559503	
MDS2	1	23627336	
EEF1A1P48	1	23670294	
RPL11	1	23691790	
ELOA	1	23743471	
ELOA-AS1	1	23778290	
PITHD1	1	23778887	
LYPLA2	1	23791201	
GALE	1	23800550	
HMGCL	1	23825432	
FUCA1	1	23868318	
BTBD6P1	1	23902737	
CNR2	1	23913362	
MIR378F	1	23929070	
H3P1	1	23949383	
PNRC2	1	23959824	
SRSF10	1	23980308	
RPL36P5	1	24008519	
MYOM3-AS1	1	24066774	
MYOM3	1	24112135	
IL22RA1	1	24143164	
IFNLR1	1	24187265	
LINC02800	1	24201217	
GRHL3	1	24319440	
GRHL3-AS1	1	24321902	
STPG1	1	24413734	
NIPAL3	1	24415803	
RCAN3	1	24502926	
RCAN3AS	1	24556017	
NCMAP	1	24556116	
SRRM1	1	24643296	
CLIC4	1	24745395	
RNU6-1208P	1	24777979	
MIR6731	1	24919416	
RUNX3	1	24947643	
RUNX3-AS1	1	24961345	
MIR4425	1	25023503	
LINC02793	1	25041136	
IFITM3P7	1	25125454	
SYF2	1	25232499	
RSRP1	1	25267849	
RHD	1	25272492	
SDHDP6	1	25294643	
TMEM50A	1	25338396	
RHCE	1	25420805	
MACO1	1	25430928	
LDLRAP1	1	25543681	
MAN1C1	1	25617337	
SELENON	1	25800212	
MTFR1L	1	25820003	
AUNIP	1	25859457	
PAQR7	1	25873480	
SNRPFP2	1	25887360	
STMN1	1	25906404	
MIR3917	1	25906454	
RNU6-110P	1	25964197	
PAFAH2	1	25998070	
EXTL1	1	26022152	
SLC30A2	1	26046115	
TRIM63	1	26068033	
PDIK1L	1	26111384	
FAM110D	1	26159080	
C1orf232	1	26168772	
ZNF593	1	26169925	
ZNF593OS	1	26171743	
CNKSR1	1	26177520	
CATSPER4	1	26190602	
ZPLD2P	1	26209741	
CEP85	1	26234218	
SH3BGRL3	1	26280075	
UBXN11	1	26306626	
CD52	1	26317958	
CRYBG2	1	26338892	
ZNF683	1	26372700	
LIN28A	1	26410817	
DHDDS	1	26432365	
RPL17P9	1	26455187	
DHDDS-AS1	1	26467648	
HMGN2	1	26472450	
DPPA2P2	1	26520250	
RPS6KA1	1	26543162	
MIR1976	1	26554542	
RN7SL679P	1	26593546	
RNU7-29P	1	26602432	
ARID1A	1	26758608	
PIGV	1	26787974	
RN7SL165P	1	26814822	
ZDHHC18	1	26832004	
SFN	1	26863149	
GPN2-AS1	1	26876133	
GPN2	1	26889600	
GPATCH3	1	26896957	
NR0B2	1	26913975	
NUDC	1	26921741	
KDF1	1	26960428	
RPL12P13	1	26980165	
RPL32P6	1	26983628	
OSTCP2	1	26986340	
TRNP1	1	26993739	
TENT5B	1	27012850	
SLC9A1	1	27154598	
CHCHD3P3	1	27201473	
NPM1P39	1	27206930	
SNRPEP7	1	27211265	
WDTC1-DT	1	27234365	
WDTC1	1	27234668	
TMEM222	1	27322251	
RNU6-48P	1	27325219	
ACTG1P20	1	27325329	
SYTL1	1	27342086	
MAP3K6	1	27366858	
FCN3	1	27374824	
CD164L2	1	27383313	
GPR3	1	27392722	
WASF2	1	27490150	
AHDC1	1	27604126	
FGR	1	27628141	
LINC02574	1	27664806	
IFI6	1	27672195	
RNU6-949P	1	27675709	
CHMP1AP1	1	27687471	
RNU6-424P	1	27693731	
FAM76A	1	27725996	
RPEP3	1	27739954	
STX12	1	27773248	
RNU6-1245P	1	27824538	
PPP1R8	1	27830818	
SCARNA1	1	27834401	
THEMIS2	1	27872556	
RPA2	1	27914573	
SMPDL3B	1	27935038	
XKR8	1	27959950	
RN7SL559P	1	28032180	
EYA3	1	28088597	
SPCS2P4	1	28096422	
ARL8BP2	1	28121321	
RNU6-176P	1	28142841	
PTAFR	1	28192473	
DNAJC8	1	28233020	
ATP5IF1	1	28236118	
SESN2	1	28259520	
MED18	1	28329055	
PHACTR4	1	28369739	
DNAJC8P4	1	28453541	
RNU6ATAC27P	1	28481362	
SNHG3	1	28506043	
SNORA73A	1	28507366	
SNORA73B	1	28508559	
RCC1	1	28518252	
PRDX3P2	1	28527227	
TRNAU1AP	1	28553104	
SNORD99	1	28578822	
SNORA61	1	28579893	
SNORA44	1	28580512	
SNORA16A	1	28581055	
SNHG12	1	28581873	
RAB42	1	28592232	
TAF12	1	28643088	
TAF12-DT	1	28643173	
RNU11	1	28648600	
GMEB1	1	28668778	
YTHDF2	1	28736950	
OPRD1	1	28812170	
EPB41	1	28914557	
TMEM200B	1	29123903	
SRSF4	1	29181881	
MECR	1	29230895	
PTPRU	1	29236639	
LINC01756	1	29350114	
LINC01648	1	30037612	
MATN1-AS1	1	30718782	
MATN1	1	30719251	
MIR4420	1	30739232	
LAPTM5	1	30757774	
LINC01778	1	30824233	
RN7SKP91	1	30843823	
SDC3	1	30881429	
RN7SL371P	1	30918735	
PUM1	1	31065697	
SELENOWP1	1	31095558	
RPL21P22	1	31108623	
NKAIN1	1	31239850	
SNRNP40	1	31289419	
ZCCHC17	1	31297023	
FABP3	1	31373076	
SERINC2	1	31413194	
EEF1A1P46	1	31488930	
RNU6-40P	1	31497683	
LDC1P	1	31506197	
LINC01226	1	31512329	
TINAGL1	1	31576543	
HCRTR1	1	31617723	
PEF1	1	31644737	
PEF1-AS1	1	31645112	
COL16A1	1	31683748	
ADGRB2	1	31757037	
MIR4254	1	31758735	
SPOCD1	1	31814129	
PTP4A2	1	31937783	
KHDRBS1	1	32013868	
TMEM39B	1	32072940	
MIR5585	1	32086949	
KPNA6	1	32125490	
TXLNA	1	32179714	
CCDC28B	1	32200636	
IQCC	1	32205656	
IQCC-AS1	1	32206499	
DCDC2B	1	32209089	
TMEM234	1	32222336	
EIF3I	1	32222417	
MTMR9LP	1	32241523	
FAM167B	1	32247222	
LCK	1	32273926	
HDAC1	1	32292130	
MARCKSL1	1	32336233	
TSSK3	1	32353091	
FAM229A	1	32363354	
BSDC1	1	32394432	
GAPDHP20	1	32403115	
LRRC37A12P	1	32426789	
RN7SL122P	1	32457835	
ZBTB8B	1	32465090	
ZBTB8A	1	32539408	
ZBTB8OS	1	32650553	
RBBP4	1	32651256	
SYNC	1	32702773	
NHSL3	1	32754019	
YARS1	1	32817357	
S100PBP	1	32817690	
FNDC5	1	32870843	
HPCA	1	32886475	
TMEM54	1	32901389	
RNF19B	1	32964869	
AK2	1	33036865	
AZIN2	1	33081164	
TRIM62	1	33182048	
ZNF362	1	33256582	
A3GALT2	1	33321098	
MIR3605	1	33332492	
RN7SKP16	1	33336864	
PHC2-AS1	1	33350040	
PHC2	1	33365246	
TLR12P	1	33466249	
ZSCAN20	1	33472646	
CSMD2	1	33761861	
HSPD1P14	1	33838523	
HMGB4	1	33862181	
CSMD2-AS1	1	33870198	
RNA5SP42	1	34112949	
C1orf94	1	34171895	
MIR552	1	34669694	
GJB5	1	34755040	
GJB4	1	34759749	
GJB3	1	34782278	
GJA4	1	34792999	
SMIM12	1	34859753	
DLGAP3	1	34925494	
GPR199P	1	34977395	
TMEM35B	1	34985347	
ZMYM6	1	35031737	
RPL12P45	1	35053468	
ZMYM1	1	35079383	
EFCAB14P1	1	35122022	
SFPQ	1	35181344	
ZMYM4	1	35269033	
RN7SL503P	1	35292498	
RPL5P4	1	35350722	
ZMYM4-AS1	1	35366077	
KIAA0319L	1	35557388	
NCDN	1	35557809	
TFAP2E-AS1	1	35575777	
TFAP2E	1	35587671	
PSMB2	1	35641514	
C1orf216	1	35718863	
CLSPN-AS1	1	35739389	
CLSPN	1	35769947	
CLSPN-DT	1	35770094	
AGO4	1	35808024	
CFAP97P1	1	35873752	
AGO1	1	35883223	
AGO3	1	35931105	
TEKT2	1	36084338	
ADPRS	1	36088889	
COL8A2	1	36112735	
TRAPPC3	1	36149488	
MAP7D1	1	36156198	
RN7SL131P	1	36191915	
THRAP3	1	36224433	
UBE2V2P4	1	36242156	
SH3D21	1	36319132	
EVA1B	1	36323643	
STK40	1	36385880	
LSM10	1	36397906	
RNU4-27P	1	36402859	
SNORA63C	1	36418578	
OSCP1	1	36445627	
MRPS15	1	36464377	
CSF3R	1	36482103	
FTLP18	1	36630335	
GRIK3	1	36946632	
MIR4255	1	37161563	
RNU6-636P	1	37203610	
RNA5SP43	1	37264786	
RPS29P6	1	37330852	
LITATS1	1	37474403	
ZC3H12A	1	37474819	
MIR6732	1	37480230	
MIR5581	1	37500994	
MEAF6	1	37514746	
FTH1P1	1	37544763	
SNIP1	1	37554269	
RPS27P9	1	37556247	
DNALI1	1	37556971	
GNL2	1	37594092	
RSPO1	1	37634881	
AIRIM	1	37692199	
CDCA8	1	37692489	
EPHA10	1	37752950	
ACTN4P2	1	37776670	
MANEAL	1	37794111	
C1orf122	1	37807703	
YRDC	1	37808197	
MTF1	1	37859065	
INPP5B-AS1	1	37860697	
RNU6-584P	1	37885023	
INPP5B	1	37946595	
SF3A3	1	37990028	
RNU6-510P	1	37991462	
FHL3	1	38005528	
UTP11	1	38012731	
POU3F1	1	38046793	
MIR3659HG	1	38047396	
MIR3659	1	38089231	
LINC02786	1	38134598	
LINC01343	1	38214786	
RNU6-753P	1	38396659	
LINC01685	1	38474879	
HSPA5P1	1	38708931	
RRAGC	1	38859685	
RRAGC-DT	1	38859945	
MYCBP	1	38873358	
GJA9	1	38878969	
RNU6-605P	1	38926870	
RHBDL2	1	38935675	
EIF1P2	1	38958925	
AKIRIN1	1	38991288	
NDUFS5	1	39026376	
RNU6-608P	1	39121043	
RNA5SP44	1	39154296	
HSPE1P8	1	39304898	
MACF1	1	39327218	
BMP8A	1	39491352	
OXCT2P1	1	39514956	
PPIEL	1	39558707	
PABPC4-AS1	1	39565052	
SNORA55	1	39567508	
PABPC4	1	39571175	
HEYL	1	39639638	
NT5C1A	1	39672717	
HPCAL4	1	39691433	
RNU7-121P	1	39723627	
PPIE	1	39738888	
OXCT2	1	39771348	
BMP8B-AS1	1	39779969	
BMP8B	1	39788865	
LINC02811	1	39817460	
TRIT1	1	39883477	
MYCL-AS1	1	39890226	
MYCL	1	39901919	
MFSD2A	1	39955154	
CAP1	1	40040752	
PPT1	1	40097245	
OAZ1P1	1	40132764	
RLF	1	40161387	
RNU6-1237P	1	40177843	
TMCO2	1	40246942	
ZMPSTE24-DT	1	40257994	
ZMPSTE24	1	40258201	
COL9A2	1	40317270	
RPL21P20	1	40333557	
SMAP2	1	40373734	
ZFP69B-DT	1	40450039	
ZFP69B	1	40450104	
ZFP69	1	40477273	
EXO5-DT	1	40508704	
EXO5	1	40508754	
ZNF684	1	40531674	
GTF2F2P2	1	40594353	
RIMS3	1	40665682	
NFYC	1	40692013	
NFYC-AS1	1	40692057	
MIR30E	1	40754355	
MIR30C1	1	40757284	
KCNQ4	1	40783943	
RN7SL326P	1	40804846	
CITED4	1	40862363	
UBE2V1P8	1	40942515	
CTPS1	1	40980054	
SLFNL1-AS1	1	41014590	
SLFNL1	1	41021725	
RPL23AP17	1	41098638	
SCMH1	1	41242112	
SCMH1-DT	1	41242354	
RPL36AP9	1	41264862	
FOXO6	1	41361931	
FOXO6-AS1	1	41375669	
RNA5SP45	1	41467028	
EDN2	1	41484678	
HIVEP3	1	41918669	
HNRNPFP1	1	42040597	
GUCA2B	1	42153410	
GUCA2A	1	42164744	
FOXJ3	1	42335211	
RIMKLA	1	42380795	
ZMYND12	1	42456022	
PPCS	1	42456544	
CCDC30	1	42473527	
RPS3AP11	1	42491739	
TMSB4XP1	1	42500339	
RNU6-536P	1	42569033	
PPIH	1	42658443	
YBX1	1	42682431	
CLDN19	1	42740236	
P3H1	1	42767012	
C1orf50	1	42767287	
TMEM269-DT	1	42784895	
TMEM269	1	42786498	
ERMAP	1	42817126	
SVBP	1	42817300	
ZNF691-DT	1	42846421	
ZNF691	1	42846621	
MKRN8P	1	42892430	
ATP6V1E1P1	1	42903232	
ATP6V0CP4	1	42952641	
SLC2A1	1	42958848	
SLC2A1-DT	1	42959089	
RNU6-880P	1	42991438	
CFAP144	1	43147904	
MIR6733	1	43171712	
CFAP57	1	43172352	
EBNA1BP2	1	43172550	
RNA5SP46	1	43196417	
TMEM125	1	43270474	
C1orf210	1	43285581	
TIE1	1	43308094	
MPL	1	43337833	
CDC20-DT	1	43358771	
CDC20	1	43358991	
MIR6734	1	43364715	
ELOVL1	1	43367965	
MED8-AS1	1	43371956	
MED8	1	43389784	
SZT2	1	43431131	
MIR6735	1	43448539	
SZT2-AS1	1	43448644	
HYI	1	43453825	
HYI-AS1	1	43453927	
PTPRF	1	43530881	
KDM4A	1	43650318	
KDM4A-AS1	1	43707368	
ST3GAL3	1	43707690	
